# Wordlist

# DATA
ID	DOCULECT	IPA	COUNTERPART	CONCEPT	TOKENS	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES	ALIGNMENT
3	ache1246	go	go	he/she/it	g o	1 7	AX	KU	1	1.K.C 1.U.V	2.0 1.5	0	109	g o
11	arao1248	da	da	he/she/it	d a	1 7	AX	TA	4	4.T.C 4.A.V	2.0 1.5	0	234	- - - d a -
12	arao1248	hoda	hoda	he/she/it	h o d a	3 7 1 7	AXBZ	HUTA	4	4.H.C 4.U.V 4.T.C 4.A.V	2.0 1.5 1.75 0.8	0	123	h o d a
13	arao1248	homa	homa	he/she/it	h o m a	3 7 4 7	AXBZ	HUMA	4	4.H.C 4.U.V 4.M.C 4.A.V	2.0 1.5 1.75 0.8	0	123	h o m a
14	arao1248	oho	oho	he/she/it	o h o	7 3 7	XBZ	UHU	4	4.U.V 4.H.C 4.U.V	1.5 1.75 0.8	0	245	o h o
22	ayor1240	uuteʔ	uuteʔ	he/she/it	uu t e ʔ	7 1 7 1	XBYN	YTEH	9	9.Y.V 9.T.C 9.E.V 9.H.c	1.5 1.75 1.3 0.8	0	234	- - uu t e ʔ
23	ayor1240	uaateʔ	uaateʔ	he/she/it	u aa t e ʔ	7 7 1 7 1	XYBYN	YATEH	9	9.Y.V 9.A.V 9.T.C 9.E.V 9.H.c	1.5 1.3 1.75 1.3 0.8	0	234	- u aa t e ʔ
28	bari1297	oobai	oobai	he/she/it	oo b a i	7 1 7 7	XBYZ	UPAI	10	10.U.V 10.P.C 10.A.V 10.I.V	1.5 1.75 1.3 0.8	0	118	oo b a i
33	baur1253	roti	roti	he/she/it	r o t i	5 7 1 7	AXBZ	RUTI	11	11.R.C 11.U.V 11.T.C 11.I.V	2.0 1.5 1.75 0.8	0	234	r - o t i -
34	baur1253	riti	riti	he/she/it	r i t i	5 7 1 7	AXBZ	RITI	11	11.R.C 11.I.V 11.T.C 11.I.V	2.0 1.5 1.75 0.8	0	172	r - - i t i
39	cane1242	tamə	tamə	he/she/it	t a m ə	1 7 4 7	AXBZ	TAME	14	14.T.C 14.A.V 14.M.C 14.E.V	2.0 1.5 1.75 0.8	0	122	t a m ə
